Concepts,Positive,Negative
record_information,1,0
pad,1,0
thrown_out,0,1
notepad,1,0
one_of_the_thing,1,0
frequently,1,0
white_sheet,1,0
human_intelligence,1,0
group_object,1,0
inherit,1,0
eat_raw_fish,0,1
make_sick,0,1
thick_liquid,1,0
flavor,1,0
generic,1,0
liquid_food,1,0
savoury,1,0
substance,1,0
colleague,1,0
written_down,1,0
procreate,1,0
kiss_partner,1,0
remove_clothe,1,0
lot_sex,1,0
transmit_disease,0,1
itch,0,1
intercourse,1,0
mate,1,0
multiply,1,0
overpopulation,0,1
cum,1,0
find_partner,1,0
fall_love,1,0
form,1,0
moan,0,1
life_form,1,0
venereal_disease,0,1
procreation,1,0
baby,1,0
std,0,1
evolution,1,0
pregnant,1,0
copulate,1,0
twin,1,0
naked,0,1
reproduce,1,0
find_mate,1,0
become_expert,1,0
decorate_room,1,0
bell_ring,1,0
person_answer,1,0
greenhouse_gas,0,1
poisonous_human,0,1
mission,1,0
surgery,1,0
yes,1,0
math_function,1,0
risk,1,0
business,1,0
doctor_work,1,0
noun_form,1,0
board_game,1,0
cut_open,1,0
surgeon,0,1
kid_game,1,0
scalpel,0,1
synonym,1,0
doctor_surgery,0,1
operate,0,1
procedure,1,0
fresh_air_exercise,1,0
muscle_cramp,0,1
perspiration,0,1
make_look_good,1,0
lift_heavy,0,1
contusion,0,1
see_doctor,0,1
strong_muscle,1,0
stay_fit,1,0
use_muscle,1,0
eat_egg,1,0
use_body,1,0
sore_muscle,0,1
energetic,1,0
strain_muscle,0,1
soreness,0,1
flirt,1,0
cosmetic,1,0
look_up,1,0
scientific,1,0
lab,1,0
reveal_truth,1,0
flow_water,1,0
waterfall,1,0
definition,1,0
precise,1,0
logic,1,0
cut_flower,0,1
decorative,1,0
wilt,0,1
last_long,1,0
porpoise,1,0
play_fetch,1,0
black_man,1,0
better,1,0
jump_high,1,0
arlington,1,0
saint,1,0
pope,1,0
football_team,1,0
religious_icon,1,0
angel,1,0
religious_person,1,0
mary,1,0
christian,1,0
holy_man,1,0
good_person,1,0
religious_significance,1,0
honore_person,1,0
religious_official,1,0
religious_figure,1,0
santum,1,0
sinner,0,1
disaster,0,1
tropical_storm,0,1
tornado,0,1
tsunami,0,1
stifle,0,1
smother,0,1
allow,1,0
look_nice,1,0
improve_appearance,1,0
change_appearance,1,0
maintenance,1,0
change_color,1,0
sore_back,0,1
protect_house,1,0
get_paycheck,1,0
house_look_better,1,0
prime,1,0
move_out,0,1
stir_paint,1,0
change_colour,1,0
remove_dirt,1,0
protect_surface,1,0
make_pretty,1,0
climb_ladder,1,0
husband,1,0
person_drink,0,1
water_fountain,1,0
customer,1,0
stock_market,1,0
sale,1,0
vend,1,0
make_sale,1,0
make_purchase,1,0
persuasion,1,0
tarnish,0,1
blemish,0,1
ruin,0,1
stain,0,1
self,1,0
again_again,0,1
inclusion,1,0
preposition,1,0
conjunction,1,0
another,1,0
include,1,0
infect,0,1
cause_cold,0,1
use_weapon,0,1
infection,0,1
lethal,0,1
organism,1,0
arson,0,1
trouble_breathe,0,1
leave_alone,1,0
hard_hit,0,1
target,1,0
catch_rain,1,0
beer_container,1,0
wood_burn,0,1
save_life,1,0
store_music,1,0
compass,1,0
navigation,1,0
distraction,0,1
driven,1,0
look_away,0,1
unsafe,0,1
go_store,1,0
not_forget,1,0
find_out_need,1,0
grocery_shop,1,0
put_pocket,1,0
miss,0,1
go_shop,1,0
clear_think,1,0
find_pen_paper,1,0
call_mother,1,0
check,1,0
think_need,1,0
sharpen_pencil,1,0
go_grocery_shop,1,0
heartattack,0,1
need_buy,1,0
eyestrain,0,1
go_park,1,0
wear_shoe,1,0
huh,1,0
enjoy_sport,1,0
project,1,0
task,1,0
near_conclusion,1,0
near_completion,1,0
water_lawn,1,0
factory,1,0
red_white_blue,1,0
sleep_drug,0,1
order,1,0
omega,1,0
final,1,0
connection,1,0
conduct_electricity,1,0
wire,1,0
electrical_circuit,1,0
company,1,0
another_person,1,0
school_end,1,0
bludgeon,0,1
crack,0,1
end_class,1,0
person_attention,1,0
signal,1,0
cathedral,1,0
liberty,1,0
toll,1,0
ring,1,0
philadelphia,1,0
percussion,1,0
call,1,0
jingle,1,0
noise_maker,0,1
christmas_song,1,0
bell_tower,1,0
sound_alarm,0,1
peal,1,0
taco,1,0
box_match,1,0
ring_loudly,0,1
musical,1,0
commit_crime,0,1
belt,1,0
pant,1,0
hold_up,0,1
trousers,1,0
clothe_accessory,1,0
satire,1,0
comedy,1,0
humour,1,0
end_sentence,1,0
extravagant,1,0
emergency_room,0,1
reach_tentative_agreement,1,0
deal,1,0
diplomacy,1,0
resolve_conflict,1,0
negotiator,1,0
resolve_dispute,1,0
settlement,1,0
oral_sex,0,1
shit,0,1
handshake,1,0
make_progress,1,0
mutual_understand,1,0
reconsider,1,0
agreement,1,0
celebration,1,0
consider_option,1,0
uncertainty,0,1
agree,1,0
a_lot,1,0
settle,1,0
reasonable,1,0
moderation,1,0
monk,1,0
burn_hand,0,1
budget,1,0
person_can,1,0
income,1,0
allowance,1,0
manage_money,1,0
economy,1,0
appreciate,1,0
adore,1,0
medical_instrument,0,1
protection_weather,1,0
learn_current_event,1,0
keep_up_current_event,1,0
pick_nose,0,1
learn_information,1,0
get_inform,1,0
go_online,1,0
critical,0,1
use_internet,1,0
drink_coffee,1,0
know_happen_world,1,0
background,1,0
check_weather,1,0
see_happen,1,0
turn_page,1,0
learn_read,1,0
swear,0,1
arousal,1,0
vow,1,0
oath,1,0
promise,1,0
bright_color,1,0
hide_identity,0,1
pop_corn,1,0
highlighter_pen,1,0
highlight,1,0
cuddle,1,0
snuggle,1,0
glassware,1,0
reap,1,0
gather_crop,1,0
sow,1,0
harvest,1,0
horseradish,1,0
open_window,1,0
use_calculator,1,0
better_grade,1,0
learn_new_subject,1,0
take_test,1,0
will_learn,1,0
get_degree,1,0
demonstrate_knowledge,1,0
answer_phone,1,0
gymnastics,1,0
matriculate,1,0
get_grade,1,0
experiment,1,0
set_goal,1,0
choose_seat,1,0
learn_new_information,1,0
interpret,1,0
sign_up_class,1,0
obtain_degree,1,0
make_outline,1,0
get_education,1,0
enroll_school,1,0
pass_exam,1,0
commitment,1,0
pop_quiz,1,0
apply,1,0
play_band,1,0
please_teacher,1,0
learn_school,1,0
good_education,1,0
sit_desk,1,0
enroll_class,1,0
listen_tape,1,0
failure,0,1
learn_new_skill,1,0
wear_uniform,1,0
learn_subject,1,0
better_understand,1,0
listen_lecture,1,0
go_college,1,0
turn_light,1,0
climb_stair,1,0
pay_tuition,1,0
summarize,1,0
inspiration,1,0
take_seat,1,0
emergency,0,1
calculate_quickly,1,0
ambulance,0,1
big_breadbox,1,0
person_work,1,0
sell_insurance,0,1
lease,1,0
enjoy_company_friend,1,0
use_hand,1,0
give_party,1,0
read_label,1,0
clean_hand,1,0
eat_potato_chip,1,0
eat_chip,1,0
munch,1,0
strength,1,0
explode,0,1
dip,1,0
hairdresser_chair,1,0
beauty_shop,1,0
beauty_parlor,1,0
concealer,1,0
make_up,1,0
harry_potter,1,0
melbourne,1,0
new_think,1,0
focus,1,0
help_solve_problem,1,0
expertise,1,0
nerd,0,1
make_plan,1,0
artificial_intelligence,1,0
determine_need,1,0
make_profit,1,0
efficiency,1,0
learn_program,1,0
help_others,1,0
big_paycheck,1,0
compute,1,0
business_account,1,0
weather_prediction,1,0
make_world_better_place,1,0
eureka,1,0
become_rich,1,0
produce_value,1,0
understand_problem,1,0
improve_world,1,0
consult_expert,1,0
into,1,0
introduction,1,0
put,1,0
toward,1,0
inside,1,0
katie,1,0
feel_excite,1,0
sock,1,0
piece_clothe,1,0
worn_person,0,1
striped,1,0
warm_foot,1,0
tube,1,0
sweaty,0,1
punch,0,1
foot_wear,1,0
drawers,1,0
footwear,1,0
keep_warm,1,0
sock_drawer,1,0
keep_foot_warm,1,0
sheath,1,0
stock,1,0
chess_rook,1,0
play_chess,1,0
chess_game,1,0
chess,1,0
significant,1,0
perform_action,1,0
bath_toy,1,0
get_close,1,0
desire_knowledge,1,0
need_rest,0,1
become_arouse,1,0
find_will_partner,1,0
strip,0,1
find_woman,1,0
appetite,1,0
man_woman,1,0
infidelity,0,1
attraction,1,0
pleasurable,1,0
skin_irritation,0,1
impregnate_female,0,1
couple,1,0
foreplay,1,0
spread_disease,0,1
get_trouble,0,1
pleasant_thought,1,0
spirit,1,0
partner,1,0
create_new_life,1,0
enjoy_sex,1,0
domination,1,0
make_out,1,0
private,1,0
produce_child,1,0
radioactive,0,1
good_food,1,0
tall_play_basketball,1,0
advantage,1,0
speak_mind,1,0
exchange_idea,1,0
fact_right,1,0
persuade,1,0
send_email,1,0
teach_new,1,0
explain,1,0
transfer_knowledge,1,0
educate_others,1,0
show_picture,1,0
gesture_hand,1,0
get_hear,1,0
share_idea,1,0
tell_secret,1,0
offer_opinion,1,0
grandson_learn,1,0
make_unusual_face,1,0
use_language,1,0
teach_others,1,0
give_information,1,0
give_direction,1,0
feel_smart,1,0
teach_student,1,0
response,1,0
share_knowledge,1,0
gesture,1,0
need_glass,1,0
conservative,1,0
garden_yard,1,0
test_tube,1,0
laboratory,1,0
feel_lonely,0,1
well_dress,1,0
celebrate_occasion,1,0
gossip,1,0
terrible_misunderstand,0,1
meet_person_opposite_sex,1,0
socialization,1,0
see_friend,1,0
condom,1,0
free_time,1,0
wear_clothe,1,0
want_meet_person,1,0
invite,1,0
dress_appropriately,1,0
get_hammer,1,0
bake_cake,1,0
say_hi,1,0
celebrate_holiday,1,0
bring_present,1,0
get_ready,1,0
take_off_coat,1,0
get_sex,1,0
grow_crop,1,0
geographical_feature,1,0
estate,1,0
urban,1,0
build_house,1,0
border,1,0
plot,1,0
area,1,0
acre,1,0
enjoy_nature,1,0
acreage,1,0
territory,1,0
region,1,0
property,1,0
cookie,1,0
reliable,1,0
unreliable,0,1
True,1,0
make_angry,0,1
cobalt,1,0
record_television_show,1,0
television_station,1,0
need_fix,0,1
harbor,1,0
criminal,0,1
replay,1,0
weak,0,1
romeo_juliet,0,1
bank_vault,1,0
store_money,1,0
iron_shirt,1,0
horse_movie,1,0
difficult_problem,0,1
give_hug,1,0
bromine,1,0
corner_two_street,1,0
broken_finger,0,1
survey,1,0
collect_information,1,0
demolition,0,1
maker,1,0
creator,1,0
whiskey,1,0
person_make,1,0
state_usa,1,0
contagious,0,1
attitude,1,0
self_esteem,1,0
hard_find,0,1
sequence,1,0
come_up,1,0
follow,1,0
proceed,1,0
beside,1,0
forward,1,0
one_much,1,0
to_do,1,0
come,1,0
transition,1,0
write_note,1,0
crossword_puzzle,1,0
grow_tree,1,0
cylindrical,1,0
mark_paper,1,0
mechanical_pencil,1,0
mark_piece_paper,1,0
hot_chick,1,0
even_score,1,0
baseball_term,1,0
sleep_soundly,1,0
infant,1,0
sleep_bed,1,0
arrive_time,1,0
innocent,1,0
immature,0,1
wave_hand,1,0
arrive_early,1,0
little_child,1,0
soft_skin,1,0
bring_joy,1,0
birth,1,0
new_person,1,0
lady,1,0
cry_lot,0,1
defecate,0,1
small_boy,1,0
doll,1,0
helpless,0,1
expressive,1,0
cradle,1,0
nurse,1,0
womb,1,0
giggle,1,0
cherub,1,0
make_face,0,1
drop_food,0,1
not_smart,0,1
rest_night,1,0
use_toilet,1,0
interact,1,0
talk_nonsense,0,1
sleep_long_time,1,0
ignorant,0,1
name_dog,1,0
small_child,1,0
young_child,1,0
little_kid,1,0
prune,1,0
wet_themselves,1,0
make_lot_noise,0,1
rattle,1,0
young_kid,1,0
cry_loudly,0,1
mom_dad,1,0
small_adult,1,0
learn_walk,1,0
rabies,0,1
bald,0,1
boy_girl,1,0
daycare,1,0
start_family,1,0
fussy,0,1
order_dinner,1,0
find_restaurant,1,0
take_number,1,0
find_shop,1,0
seller,1,0
overpay,1,0
pay_meal,1,0
order_meal,1,0
buyer,1,0
order_french_fry,1,0
consumer,1,0
wedge,1,0
wedge_door,1,0
ware,1,0
recipient,1,0
round_object,1,0
spoon,1,0
hold_food,1,0
eat_off,1,0
vessel,1,0
round_white,1,0
food_place,1,0
food_container,1,0
put_food,1,0
circular_shape,1,0
flatter,1,0
find_kitchen,1,0
serve,1,0
flag,1,0
holder,1,0
again,1,0
december,1,0
cake,1,0
circular_object,1,0
have,1,0
flatness,1,0
dinner_table,1,0
spoon_fork,1,0
tupperware,1,0
breakable,0,1
kitchen_cupboard,1,0
person_have,1,0
bicycle_store,1,0
clasp,1,0
pick,1,0
restrict_access,0,1
hip,1,0
latex_glove,1,0
shoot_gun,0,1
pull_trigger,0,1
movie_genre,1,0
tragedy,0,1
bible,1,0
plato,1,0
all_thing,1,0
form_energy,1,0
impermanent,0,1
make_out_atom,1,0
testimony,1,0
court,0,1
evidence,1,0
courtroom,0,1
witness,1,0
get_burn,0,1
mozart_music,1,0
musical_composition,1,0
write_poetry,1,0
repetitive,0,1
manufacture_plant,1,0
make_life_easy,1,0
companionship,1,0
tv_show,1,0
control_computer,1,0
action_movie,1,0
need_oil,1,0
believe_god,1,0
sense_sound,1,0
sign_love,1,0
easy_tear,0,1
kitchen_tool,1,0
long_stick,0,1
flipper,1,0
pancake,1,0
use_cook,1,0
put_jail,0,1
much_work,0,1
gain_money,1,0
fairness,1,0
keep_peace,1,0
become_lawyer,1,0
judge_jury,1,0
police,0,1
obey_law,1,0
pay_ticket,1,0
sleepless_night,0,1
cop,0,1
tell_truth,1,0
listen_heart,1,0
honest,1,0
officer,1,0
become_judge,1,0
alone_long_time,0,1
perfect,1,0
anagram,1,0
absolute,1,0
super,1,0
no_person,0,1
ideal,1,0
greatness,1,0
precision,1,0
exact,1,0
excellence,1,0
day_job,1,0
salty,1,0
travel_fast,1,0
eat_animal,0,1
surprise_person,1,0
brush,1,0
venomous,0,1
white_house,1,0
insect,1,0
sun_itself,1,0
realize,1,0
notice,1,0
to_get,1,0
recognize,1,0
become_aware,1,0
epiphany,1,0
figure_out,1,0
awareness,1,0
shortage,0,1
famine,0,1
lack,0,1
easy_break,0,1
uneven,0,1
stadium_stand,1,0
watch_game,1,0
ballpark,1,0
watch_entertainment,1,0
observer,1,0
report_crime,0,1
state_name,1,0
crime,0,1
state_fact,1,0
sign_document,1,0
store_paper,1,0
store_file,1,0
will_entertain,1,0
telephone_ring,1,0
see_commercial,1,0
learn_news,1,0
find_tv,1,0
eat_popcorn,1,0
change_channel,1,0
no_effort,1,0
wish_entertain,1,0
entertainment_learn,1,0
turn_channel,1,0
turn_off_tv,0,1
television_set,1,0
switch_television,1,0
enjoy_entertainment,1,0
meditate,1,0
learn_entertainment,1,0
turn_off_television,0,1
vegetate,1,0
electric_power,1,0
kill_time,0,1
hyundai,1,0
manufacturer,1,0
chilly,1,0
spicy,1,0
coldness,0,1
feel_cold,0,1
distance_measurement,1,0
distinguish,1,0
selection,1,0
famous,1,0
suggest,1,0
picture,1,0
panorama,1,0
movie_set,1,0
vista,1,0
attract_attention,1,0
play_theater,1,0
make_point,1,0
set_stage,1,0
scent,1,0
perfume,1,0
floral,1,0
fragrance,1,0
nice_smell,1,0
aroma,1,0
work_person,1,0
army_rank,0,1
military_rank,0,1
ready_troop,0,1
intestine,1,0
school_bus,1,0
noisy_place,0,1
bright_yellow,1,0
live_city,1,0
love_yourself,1,0
manor,1,0
good_idea,1,0
jitters,0,1
sip,1,0
ripe,1,0
tart,1,0
delicious,1,0
fun_ride,1,0
lot_fat,0,1
thanksgiving,1,0
holiday,1,0
watch_play,1,0
find_ball,1,0
teddy_bear,1,0
study_exam,1,0
knowledge_subject,1,0
chew_pencil,0,1
turn_exam,1,0
want_pass_class,1,0
mark,1,0
read_direction,1,0
prove_knowledge,1,0
gain_qualification,1,0
receive_grade,1,0
feel_nervous,0,1
write_essay,1,0
pass_test,1,0
pass_grade,1,0
study_material,1,0
lot_stress,0,1
complete_course,1,0
prove_learn,1,0
go_class,1,0
enough_sleep,1,0
take_class,1,0
graduation,1,0
pass_fail,1,0
pain_suffer,0,1
study_lot,1,0
black_out,0,1
earn_degree,1,0
revise,1,0
person_dislike_person,0,1
dark_colore,0,1
old_game,1,0
jay,1,0
air_traffic_controller,1,0
near_mouth,1,0
bone,1,0
spider,0,1
put_water,1,0
lid,1,0
hold_inside,1,0
can,1,0
hold_brain,1,0
fire_weapon,0,1
slow_traffic,0,1
retire,1,0
roadblock,0,1
carry_gun,0,1
dunk,0,1
preserve,1,0
push_hard,1,0
sticky_substance,0,1
make_fruit,1,0
stick_together,1,0
adhesive,1,0
stick_paper,1,0
measurement_tool,1,0
hold_together,1,0
place_somewhere,1,0
mask,1,0
fastener,1,0
molasses,1,0
thick,1,0
antagonist,0,1
rapper,1,0
anything,1,0
gallery_open,1,0
pronoun,1,0
grammar,1,0
part_speech,1,0
person_person,1,0
speech_part,1,0
family_picture,1,0
see_film,1,0
bite_tongue,0,1
nuclear,1,0
destroy_live,0,1
use_telephone,1,0
talk_far_away,1,0
cheer_team,1,0
eat_hot_dog,1,0
good_fun,1,0
bordom,0,1
watch_baseball,1,0
sit_stand,1,0
drink_coke,1,0
sport_fan,1,0
catch_fly_ball,1,0
like_sport,1,0
purchase_ticket,1,0
traffic_jam,0,1
sit_sun,1,0
hang_out_friend,1,0
pay_money,1,0
money_ticket,1,0
drink_lot_beer,0,1
lawsuit,0,1
hang_door,1,0
leave_room,0,1
walk_through_wall,0,1
respond,1,0
archeologist,1,0
learn_history,1,0
discuss_friend,1,0
change_plan,1,0
learn_culture,1,0
study_history,1,0
broaden_horizon,1,0
exhibition,1,0
satisfy_curiosity,1,0
form_opinion,1,0
appreciation,1,0
take_note_class,1,0
understand_culture,1,0
dig_dirt,0,1
dig,1,0
leave_museum,1,0
learn_other_culture,1,0
college_degree,1,0
combine,1,0
professor,1,0
mailman,1,0
sort_mail,1,0
cook_rice,1,0
compost,1,0
bid,1,0
light_weight,1,0
rush_work,1,0
find_subway_stop,1,0
wait_bus,0,1
carry_briefcase,1,0
hurry_work,1,0
laugh_joke,1,0
friendly_fire,1,0
hair_become_short,1,0
curl,1,0
hair_wash,1,0
make_appointment,1,0
get_haircut,1,0
get_perm,1,0
hair_get_short,1,0
personal_groom,1,0
appointment,1,0
new_style,1,0
special_occasion,1,0
hair_cut,1,0
bad_haircut,0,1
look_neat,1,0
go_hair_salon,1,0
brush_hair,1,0
look_pretty,1,0
hair_long,1,0
talk_hairdresser,1,0
deny,0,1
phase,1,0
neighborhood_map,1,0
visualize,1,0
learn_place,1,0
orientation,1,0
city_hall,1,0
find_address,1,0
thomas_jefferson,1,0
president_unite_state,1,0
religious_fundamentalist,0,1
noble_man,1,0
hidden,0,1
diabetes,0,1
account,1,0
tax,0,1
finance,1,0
check_book,1,0
off,0,1
term,1,0
away,0,1
switch,1,0
command,1,0
piss,0,1
shotgun,0,1
literature,1,0
toy_ball,1,0
chase,0,1
want_join,1,0
break_law,0,1
decide_want,1,0
stupidity,0,1
lose_control,0,1
broken_law,0,1
waste_money,0,1
find_money,1,0
id_card,1,0
like_beer,1,0
give_money,1,0
lose_money,0,1
web,1,0
www,1,0
world_wide,1,0
net,1,0
wee,1,0
wear_tuxedo,1,0
guest,1,0
bride_groom,1,0
matrimony,1,0
social_event,1,0
marriage_ceremony,1,0
event_type,1,0
dry_yourself,1,0
get_cold,1,0
dry_off,1,0
take_off_clothe,0,1
play_water,1,0
towel,1,0
catch_cold,0,1
practise,1,0
help_learn,1,0
go_courtroom,0,1
street_sign,1,0
street_corner,1,0
elect_official,1,0
george_w,1,0
arachnid,1,0
pest,0,1
wood_structure,1,0
become,1,0
develop,1,0
appearance,1,0
to_be,1,0
shenzhen,1,0
impress_girl,1,0
cold_head,1,0
look_smart,1,0
little_hair,0,1
money_pay,1,0
short_hair,1,0
go_barber,1,0
go_barbershop,1,0
look_attractive,1,0
yourself,1,0
change_style,1,0
look_different,1,0
window_shop,1,0
bad_luck,0,1
ask_price,1,0
visit_barber,1,0
neatness,1,0
new_look,1,0
look_yourself_mirror,1,0
don,0,1
not_like,0,1
must_pay,1,0
hair_short,1,0
drunkeness,0,1
good_body,1,0
talent,1,0
flip,1,0
flexibility,1,0
jump_around,1,0
olympic_sport,1,0
poker_hand,1,0
clean_toilet,1,0
fountain_pen,1,0
antiquate,1,0
fill_ink,1,0
leak,0,1
classy,1,0
lust,0,1
christ,1,0
romance,1,0
great_love,1,0
love_affection,1,0
biology,1,0
subject_study,1,0
vector,0,1
heavy_air,1,0
imaginary,1,0
documentary,1,0
fake,0,1
seat_many_person,1,0
oval_shape,1,0
cross_guard,1,0
sword,0,1
mint,1,0
unwant_outcome,0,1
cause_headache,0,1
dilemma,0,1
conundrum,1,0
question,1,0
math_relate,1,0
obstacle,0,1
bad_situation,0,1
quandry,0,1
not_good,0,1
difficulty,0,1
big_problem,0,1
predicament,1,0
challenge,1,0
difficult_situation,0,1
mistake,0,1
check_mail,1,0
obese,0,1
real,1,0
trick,1,0
magic_trick,1,0
february,1,0
repeat,0,1
echo,1,0
say,1,0
redo,0,1
two_syllable,1,0
commit_memory,1,0
repetition,0,1
cycle,1,0
instruction,1,0
twice,1,0
encore,1,0
camera_film,1,0
go_market,1,0
win_trophy,1,0
practice_skill,1,0
contest,1,0
exhilirate,1,0
teamwork,1,0
try_win,1,0
lose_friend,0,1
tension,0,1
loose,1,0
sense_accomplishment,1,0
winner_loser,1,0
enemy,0,1
might_win,1,0
try_best,1,0
try_hard,0,1
opponent,0,1
win_lose,1,0
use_skill,1,0
unlock_door,1,0
nursery,1,0
integrity,1,0
self_respect,1,0
character_trait,1,0
hurt_toe,0,1
porno,0,1
worth,1,0
not_cash,1,0
item_value,1,0
value,1,0
fire,0,1
physical_phenomenon,1,0
warrior,0,1
fighter,0,1
go_dmv,1,0
dispense_water,1,0
panda,1,0
black_white,1,0
toy_soldier,1,0
toybox,1,0
model,1,0
important_message,1,0
absolution,1,0
sound_like,1,0
iron_clothe,1,0
mystery,1,0
story,1,0
scheme,1,0
farm_land,1,0
dry_clean,1,0
ride_subway,1,0
human_life,1,0
err,0,1
music_hall,1,0
pluck_string,1,0
produce_music,1,0
music_room,1,0
arm_part,1,0
provide,1,0
bring_food,1,0
support,1,0
supply,1,0
support_family,1,0
give_help,1,0
offer,1,0
take_care,1,0
charity,1,0
moron,0,1
toolsh,1,0
fall_ground,0,1
fall_over,0,1
reach_high_shelf,1,0
birth_control_pill,1,0
vibrate,1,0
load_bear,0,1
ancient_rome,1,0
geometric_figure,1,0
tunnel,1,0
support_roof,1,0
architecture,1,0
architectural_structure,1,0
production,1,0
overrate,0,1
creation,1,0
big_deal,1,0
ton,1,0
assembly_line,1,0
hollywood,1,0
waste,0,1
manufacture,1,0
factory_output,1,0
produce,1,0
output,1,0
make_stuff,1,0
stay_awake,1,0
sweetness,1,0
use_bathroom,1,0
tea,1,0
taste_bitter,0,1
sweet_taste,1,0
insomnia,0,1
serve_hot,1,0
java,1,0
refresh,1,0
diuretic,0,1
go_bed,1,0
coffer,1,0
money_hold,1,0
treasure_chest,1,0
feel_sense_accomplishment,1,0
entrepreneur,1,0
feel_accomplishment,1,0
determine,1,0
make_happen,1,0
sense_pride,1,0
fame,1,0
persistence,0,1
human_race_survive,1,0
activist,1,0
share_others,1,0
attain_goal,1,0
receive_reward,1,0
make_model,1,0
feel_pride,1,0
determination,1,0
gratification,1,0
grin,1,0
prototype,1,0
patent,1,0
clap,1,0
sense_fulfillment,1,0
scare_person,0,1
heart_attack,0,1
fly_fish,1,0
popular_music,1,0
exercise_equipment,1,0
fondue,1,0
leftovers,1,0
lollipop,1,0
bridge_river,1,0
good_meal,1,0
impress_date,1,0
raisin,1,0
one_and,1,0
any,1,0
one_or,1,0
chop_tree,0,1
instead,1,0
have_much,1,0
others,1,0
same_again,1,0
other,1,0
clarify,1,0
coercion,1,0
go_high,1,0
gamble_money,0,1
play_friend,1,0
win_bet,1,0
deck_card,1,0
keep_score,1,0
go_on-line,1,0
loss_money,0,1
bore_person,0,1
win_money,1,0
hooch,0,1
find_play,1,0
loose_money,0,1
win_loose,1,0
buy_market,1,0
shuffle_card,1,0
pass_card,1,0
find_other_player,1,0
lose_game,0,1
gamble,0,1
find_other_person_play,1,0
john,1,0
like_candy,1,0
pay_rend,1,0
ship,1,0
sail_boat,1,0
hit_baseball_bat,1,0
hunter,0,1
buy_store,1,0
kind_food,1,0
morning_food,1,0
typically,1,0
buy_airplane_ticket,1,0
fault,0,1
negative_feel,0,1
electric,1,0
mystic,1,0
wizard,1,0
magician,1,0
weather_forecast,1,0
kill_self,0,1
commonly,1,0
nobody,0,1
go_hell,0,1
go_colorado,1,0
know_everything,1,0
pinch,1,0
hell,0,1
mit,1,0
go_court,0,1
burial_place,0,1
headstone,0,1
corpse,0,1
dig_hole,0,1
death_place,0,1
bury_person,0,1
rest_place,0,1
casket,0,1
epitaph,0,1
bury_body,0,1
dead_person,0,1
dead_place,0,1
monument,0,1
tomb,0,1
bury_dead,0,1
coffin,0,1
watery,1,0
change_lifestyle,1,0
reduce_pollution,1,0
reserve,1,0
army,0,1
government_agreement,1,0
retain,1,0
keep,1,0
hold_back,0,1
leave_over,1,0
bank,1,0
garbage_can,0,1
hold_trash,0,1
sound_loud,1,0
harmful_human,0,1
polygon,1,0
figure,1,0
geometric_shape,1,0
geometry_shape,1,0
close_curtain,1,0
cool_room,1,0
step,1,0
turn_vcr,1,0
tape_television_show,1,0
answer_telephone,1,0
receptionist,1,0
take_message,1,0
book_reservation,1,0
correspondence,1,0
assistant,1,0
book_appointment,1,0
office_job,1,0
stress_out,0,1
want_eat,1,0
not_die,1,0
dustbin,0,1
rubbish,0,1
from_here,1,0
stray,0,1
sport_team,1,0
proximity,1,0
distant,1,0
further,1,0
message,1,0
go_far,1,0
absence,0,1
always_read,1,0
elsewhere,1,0
here,1,0
placement,1,0
flee,0,1
vague,0,1
absent,0,1
equal,1,0
today,1,0
goodbye,0,1
afar,1,0
nearby,1,0
cooperation,1,0
helpful,1,0
violin_bow,1,0
old_time,0,1
animal_fur,1,0
drive_train,1,0
large_store,1,0
grasp,1,0
buy_love,0,1
give_plug,1,0
kindness,1,0
bad_food,0,1
make_throw_up,0,1
attacker,0,1
storm_fortress,0,1
flower_arrangement,1,0
trade,1,0
reciprocal,1,0
bite_nail,0,1
thrash,0,1
buy_ticket_theatre,1,0
cylinder,1,0
wipe_nose,0,1
wooden_duck,1,0
use_hunt,0,1
not_alive,0,1
food_storage,1,0
late_work,0,1
get_fire,0,1
sum_total,1,0
total,1,0
sum,1,0
something_of,1,0
price,1,0
total_number,1,0
measure_unit,1,0
how_many,1,0
hank,1,0
picture_frame,1,0
suspend,0,1
no_man,0,1
death_penalty,0,1
upside_down,1,0
glide,1,0
deadly,0,1
noose,0,1
put_up,1,0
drop_down,0,1
clothe_storage,1,0
suicide,0,1
execution,0,1
execute,0,1
capital_punishment,0,1
death_sentence,0,1
leave_right,0,1
grip_tool,1,0
cup_breast,1,0
member,1,0
grip,1,0
human_appendage,1,0
five,1,0
body_extremity,1,0
tear_paper,0,1
close_book,1,0
hold_many,1,0
fee,1,0
raise,1,0
human_organ,1,0
hold_item,1,0
many_different,1,0
slap,0,1
pat,1,0
human_part,1,0
wear_glove,1,0
hold_hand,1,0
cystoscope,1,0
state_unite_state,1,0
play_song,1,0
newton,1,0
human_sound,1,0
vocal_sound,1,0
start_fight,0,1
twist,1,0
department,1,0
dark_outside,0,1
after_sundown,0,1
moon_star,1,0
cold_day,0,1
four_wall,1,0
taffy,1,0
candy,1,0
existence,1,0
deliver_baby,1,0
past_verb,1,0
new_baby,1,0
come_out,1,0
how,1,0
begin,1,0
birthday,1,0
give_birth,1,0
make_patchwork_quilt,1,0
impress_boss,1,0
fall_sky,0,1
peek,0,1
quick_look,1,0
boo,0,1
watch_news,1,0
